Designator,Footprint,Quantity,Value,LCSC Part #
"AE1, AE2",Texas_SWRA117D_2.4GHz_Right,2,Antenna,
"BT1, BT2",BatteryHolder_Multicomp_BC-2001_1x2032,2,Battery_Cell,
C2,CP_Radial_D6.3mm_P2.50mm,1,C 10uf,
D1,LED_D3.0mm,1,LED,
Q3,TO-92_Inline,1,2N3904,
Q6,TO-92_Inline,1,2N3906,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,47k,
"R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,R 220,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,4.7k,
RV2,Potentiometer_Bourns_3386P_Vertical,1,R_Potentiometer,
